0, 1, 39, 340.9959497166312, -19.00405028336882, -7.166271827769463, 352.8337281722305
0, 1, 40, 347.0856086055104, -12.914391394489586, -5.786014486187494, 354.21398551381253
0, 1, 41, 351.79774611946715, -8.202253880532876, -8.088088624466439, 351.9119113755336
0, 1, 42, 343.7994865265717, -16.20051347342829, -14.663288148593425, 345.3367118514066
0, 1, 43, 336.1371768374527, -23.862823162547244, -21.71389641441744, 338.28610358558257
0, 1, 44, 323.302014782119, -36.697985217881026, -35.02498336204452, 324.9750166379555
0, 1, 45, 310.83408282353435, -49.165917176465626, -42.54904218413837, 317.4509578158616
0, 1, 46, 299.0765010754145, -60.92349892458548, -51.28028386351544, 308.7197161364846
0, 1, 47, 286.25117808309074, -73.74882191690928, -64.34429683142189, 295.6557031685781
0, 1, 48, 273.0029175056676, -86.99708249433239, -77.29755207792961, 282.7024479220704
0, 1, 49, 247.2873635579883, -112.71263644201171, -106.99450001441701, 253.005499985583
0, 1, 50, 227.22030004533582, -132.77969995466418, -130.82149459184288, 229.17850540815712
0, 1, 51, 216.38443134924563, -143.61556865075437, -148.44368494056755, 211.55631505943242
0, 1, 52, 208.16690773327028, -151.83309226672972, -158.01682740970242, 201.98317259029758
0, 1, 53, 205.08964482318035, -154.91035517681965, -163.9629968475606, 196.0370031524394
0, 1, 54, 204.54529404746484, -155.45470595253516, -168.37917561054118, 191.62082438945882
0, 1, 55, 202.60258436459708, -157.39741563540292, -172.14461042800716, 187.85538957199284
0, 1, 56, 201.80707131506958, -158.19292868493042, -174.74340722991332, 185.25659277008668
0, 1, 57, 203.9488096952494, -156.0511903047506, -176.5282607204836, 183.4717392795164
0, 1, 58, 203.9458679537305, -156.0541320462695, -174.84233324118637, 185.15766675881363
1, 0, 39, 352.8337281722305, -7.166271827769482, -19.00405028336882, 340.9959497166312
1, 0, 40, 354.21398551381253, -5.786014486187487, -12.914391394489586, 347.0856086055104
1, 0, 41, 351.9119113755336, -8.088088624466419, -8.202253880532876, 351.79774611946715
1, 0, 42, 345.3367118514066, -14.663288148593406, -16.20051347342829, 343.7994865265717
1, 0, 43, 338.28610358558257, -21.71389641441743, -23.862823162547244, 336.1371768374527
1, 0, 44, 324.9750166379555, -35.024983362044516, -36.697985217881026, 323.302014782119
1, 0, 45, 317.4509578158616, -42.54904218413837, -49.165917176465626, 310.83408282353435
1, 0, 46, 308.7197161364846, -51.28028386351544, -60.92349892458548, 299.0765010754145
1, 0, 47, 295.6557031685781, -64.34429683142189, -73.74882191690928, 286.25117808309074
1, 0, 48, 282.7024479220704, -77.29755207792961, -86.99708249433239, 273.0029175056676
1, 0, 49, 253.005499985583, -106.99450001441701, -112.71263644201171, 247.2873635579883
1, 0, 50, 229.17850540815712, -130.82149459184288, -132.77969995466418, 227.22030004533582
1, 0, 51, 211.55631505943242, -148.44368494056755, -143.61556865075437, 216.38443134924563
1, 0, 52, 201.98317259029758, -158.01682740970242, -151.83309226672972, 208.16690773327028
1, 0, 53, 196.0370031524394, -163.9629968475606, -154.91035517681965, 205.08964482318035
1, 0, 54, 191.62082438945882, -168.37917561054118, -155.45470595253516, 204.54529404746484
1, 0, 55, 187.85538957199284, -172.14461042800716, -157.39741563540292, 202.60258436459708
1, 0, 56, 185.25659277008668, -174.74340722991332, -158.19292868493042, 201.80707131506958
1, 0, 57, 183.4717392795164, -176.5282607204836, -156.0511903047506, 203.9488096952494
1, 0, 58, 185.15766675881363, -174.84233324118637, -156.0541320462695, 203.9458679537305
